"","bike_id","start_time","date","month","year","stop_time","travelled_time","start_station","start_lat","start_long","end_station","end_lat","end_long","type","age","birth_year","gender"
"1","26301",2018-02-26 19:11:03,26,"February",2018,2018-02-26 19:15:40,4.61830000082652,"3186",40.7195861164717,-74.0431174635887,"3203",40.727595966,-74.044247311,"Subscriber",32,1986,"Male"
"2","26301",2018-02-27 07:52:49,27,"February",2018,2018-02-27 07:58:13,5.39873333374659,"3203",40.727595966,-74.044247311,"3202",40.7272235,-74.0337589,"Subscriber",39,1979,"Male"
"3","26301",2018-02-27 12:03:27,27,"February",2018,2018-02-27 12:04:54,1.44211666584015,"3202",40.7272235,-74.0337589,"3638",40.7242941,-74.0354826,"Subscriber",55,1963,"Male"
"4","26301",2018-02-27 13:53:51,27,"February",2018,2018-02-27 14:21:04,27.2157499988874,"3638",40.7242941,-74.0354826,"3638",40.7242941,-74.0354826,"Subscriber",34,1984,"Male"
"5","26301",2018-02-27 14:30:42,27,"February",2018,2018-02-27 14:33:11,2.47556666930517,"3638",40.7242941,-74.0354826,"3187",40.7211236,-74.03805095,"Subscriber",38,1980,"Male"
"6","26301",2018-02-27 16:31:04,27,"February",2018,2018-02-27 16:33:27,2.39924999872843,"3187",40.7211236,-74.03805095,"3638",40.7242941,-74.0354826,"Subscriber",38,1980,"Male"
"7","26301",2018-02-27 17:37:12,27,"February",2018,2018-02-27 17:40:49,3.61653333504995,"3638",40.7242941,-74.0354826,"3639",40.7192517,-74.034234,"Subscriber",29,1989,"Male"
"8","26301",2018-02-27 17:49:10,27,"February",2018,2018-02-27 17:55:03,5.8816499988238,"3639",40.7192517,-74.034234,"3202",40.7272235,-74.0337589,"Subscriber",56,1962,"Male"
"9","26301",2018-02-27 18:21:57,27,"February",2018,2018-02-27 18:25:18,3.33669999837875,"3202",40.7272235,-74.0337589,"3638",40.7242941,-74.0354826,"Subscriber",26,1992,"Male"
"10","26301",2018-02-27 22:08:55,27,"February",2018,2018-02-27 22:28:42,19.7854333321253,"3638",40.7242941,-74.0354826,"3281",40.7459099663156,-74.0572714805603,"Subscriber",37,1981,"Male"
"11","26301",2018-02-28 08:19:37,28,"February",2018,2018-02-28 08:25:54,6.28976666927338,"3281",40.7459099663156,-74.0572714805603,"3640",40.73367,-74.0625,"Subscriber",46,1972,"Male"
"12","26301",2018-02-28 18:17:07,28,"February",2018,2018-02-28 18:25:44,8.62143333355586,"3640",40.73367,-74.0625,"3210",40.742677141,-74.051788633,"Subscriber",30,1988,"Male"
"13","26301",2018-03-01 10:27:57,1,"March",2018,2018-03-01 10:34:49,6.86656666994095,"3210",40.742677141,-74.051788633,"3640",40.73367,-74.0625,"Subscriber",32,1986,"Male"
"14","26301",2018-03-03 04:12:49,3,"March",2018,2018-03-03 04:21:03,8.23376666704814,"3640",40.73367,-74.0625,"3281",40.7459099663156,-74.0572714805603,"Subscriber",40,1978,"Male"
"15","26301",2018-03-03 18:18:47,3,"March",2018,2018-03-03 18:25:24,6.6220166683197,"3281",40.7459099663156,-74.0572714805603,"3640",40.73367,-74.0625,"Subscriber",40,1978,"Male"
"16","26301",2018-03-04 03:46:27,4,"March",2018,2018-03-04 03:54:48,8.35783333381017,"3640",40.73367,-74.0625,"3281",40.7459099663156,-74.0572714805603,"Subscriber",40,1978,"Male"
"17","26301",2018-03-04 17:18:45,4,"March",2018,2018-03-04 17:25:37,6.86708333094915,"3281",40.7459099663156,-74.0572714805603,"3640",40.73367,-74.0625,"Subscriber",40,1978,"Male"
"18","26301",2018-03-05 00:08:53,5,"March",2018,2018-03-05 00:16:39,7.76286666790644,"3640",40.73367,-74.0625,"3281",40.7459099663156,-74.0572714805603,"Subscriber",40,1978,"Male"
